ID,Lat,Lon,Elevation,State,Name,GSN ,HCN/CRN,WMO ID
USW00027516,71.3214,-156.6111,4.6,AK,BARROW 4 ENE,,CRN,70025
USW00026565,70.1617,-148.4644,9.1,AK,DEADHORSE 3 S,,CRN,
USW00026494,64.9736,-147.51,347.5,AK,FAIRBANKS 11 NE,,CRN,70263
USW00056401,63.0294,-145.5003,813.5,AK,GLENNALLEN 64 N,,CRN,70269
USW00025380,58.4292,-135.69,6.1,AK,GUSTAVUS 2 NE,,CRN,70360
USW00026564,68.485,-155.7505,581.9,AK,IVOTUK 1 NNE,,CRN,
USW00026563,60.7236,-150.4483,86,AK,KENAI 29 ENE,,CRN,70342
USW00025522,58.2078,-155.9225,201.5,AK,KING SALMON 42 SE,,CRN,70348
USW00025381,55.0456,-131.5878,32,AK,METLAKATLA 6 S,,CRN,70359
USW00026562,60.195,-154.3197,97.8,AK,PORT ALSWORTH 1 SW,,CRN,70349
USW00026655,68.0278,-162.9211,287.1,AK,RED DOG MINE 3 SSW,,CRN,70122
USW00096406,64.5014,-154.1297,78.9,AK,RUBY 44 ESE,,CRN,
USW00025630,55.3472,-160.4661,73.2,AK,SAND POINT 1 ENE,,CRN,70315
USW00025379,57.0575,-135.3267,23.8,AK,SITKA 1 NE,,CRN,70373
USW00025711,57.1575,-170.2119,6.1,AK,ST. PAUL 4 NE,,CRN,70309
USW00096404,62.7369,-141.2083,609.6,AK,TOK 70 SE,,CRN,70292
USW00063869,30.5486,-87.8758,29,AL,FAIRHOPE 3 NE,,CRN,72237
USW00063857,34.285,-85.9622,351.1,AL,GADSDEN 19 N,,CRN,72238
USW00063858,32.4567,-87.2422,58.8,AL,SELMA 13 WNW,,CRN,72236
USW00023904,35.82,-91.7811,138.7,AR,BATESVILLE 8 WNW,,CRN,72245
USW00053132,31.5908,-110.5086,1466.4,AZ,ELGIN 5 S,,CRN,72276
USW00053131,32.2394,-111.1697,833,AZ,TUCSON 11 W,,CRN,72275
USW00053155,35.7553,-112.3375,1825.8,AZ,WILLIAMS 35 NNW,,CRN,72277
USW00053154,32.835,-114.1883,189,AZ,YUMA 27 ENE,,CRN,72279
USW00093245,38.3208,-123.0747,19.2,CA,BODEGA 6 WSW,,CRN,74518
USW00053151,33.4392,-117.1903,347.5,CA,FALLBROOK 5 NE,,CRN,74502
USW00093243,37.2381,-120.8825,23.8,CA,MERCED 23 WSW,,CRN,74507
USW00004222,40.6508,-122.6067,432.2,CA,REDDING 12 WNW,,CRN,74497
USW00053152,34.4142,-119.8797,5.5,CA,SANTA BARBARA 11 W,,CRN,74505
USW00053139,36.6019,-117.145,25.6,CA,STOVEPIPE WELLS 1 SW,,CRN,74507
USW00053150,37.7592,-119.8208,2017.8,CA,YOSEMITE VILLAGE 12 W,,CRN,74503
USW00094075,40.0353,-105.5408,2995.6,CO,BOULDER 14 W,,CRN,74520
USW00003061,37.2553,-108.5036,2448.8,CO,CORTEZ 8 SE,,CRN,74523
USW00094082,40.2447,-108.9678,1847.7,CO,DINOSAUR 2 E,,CRN,74519
USW00003063,37.8639,-103.8225,1336.9,CO,LA JUNTA 17 WSW,,CRN,74529
USW00003060,38.5439,-107.6928,2560.9,CO,MONTROSE 11 ENE,,CRN,74522
USW00094074,40.8067,-104.7553,1642.9,CO,NUNN 7 NNE,,CRN,74534
USW00092826,25.8997,-81.3183,1.2,FL,EVERGLADES CITY 5 NE,,CRN,72204
USW00092827,27.1525,-81.3689,45.7,FL,SEBRING 23 SSE,,CRN,74765
USW00092821,28.6158,-80.6928,0.9,FL,TITUSVILLE 7 E,,CRN,74766
USW00063856,30.8078,-81.4597,7.6,GA,BRUNSWICK 23 S,,CRN,72321
USW00063829,31.1922,-84.4464,47.5,GA,NEWTON 11 SW,,CRN,72322
USW00063828,31.3128,-84.4706,53.6,GA,NEWTON 8 W,,CRN,74005
USW00063850,33.7836,-83.3897,225.9,GA,WATKINSVILLE 5 SSE,,CRN,74006
USW00021515,19.645,-155.0828,189.6,HI,HILO 5 S,,CRN,
USW00021514,19.5353,-155.5761,3407.4,HI,MAUNA LOA 5 NNE,,CRN,
USW00054902,41.5561,-93.2856,280.7,IA,DES MOINES 17 E,,CRN,74448
USW00004126,43.4622,-113.5561,1804.4,ID,ARCO 17 SW,,CRN,72579
USW00004127,43.2044,-116.7506,1204,ID,MURPHY 10 W,,CRN,72580
USW00054808,40.0528,-88.3728,213.4,IL,CHAMPAIGN 9 SW,,CRN,72436
USW00054811,41.8431,-88.8514,262.4,IL,SHABBONA 5 NNE,,CRN,72437
USW00063898,38.8883,-86.5708,231.6,IN,BEDFORD 5 WNW,,CRN,72431
USW00053974,39.1028,-96.6097,346.6,KS,MANHATTAN 6 SSW,,CRN,72454
USW00003067,38.87,-100.9628,874.8,KS,OAKLEY 19 SSW,,CRN,72457
USW00063849,37.2503,-86.2325,240.8,KY,BOWLING GREEN 21 NNE,,CRN,72413
USW00063838,38.0944,-84.7464,271.6,KY,VERSAILLES 3 NNW,,CRN,72430
USW00053960,30.0917,-91.8731,10.7,LA,LAFAYETTE 13 SE,,CRN,74760
USW00053961,32.8833,-92.1164,26.8,LA,MONROE 26 N,,CRN,74761
USW00094645,46.96,-67.8833,224.6,ME,LIMESTONE 4 NNW,,CRN,72710
USW00094644,44.9281,-68.7006,38.7,ME,OLD TOWN 2 W,,CRN,72714
USW00054810,46.3344,-86.92,266.7,MI,CHATHAM 1 SE,,CRN,72538
USW00054854,44.9081,-84.7203,445.3,MI,GAYLORD 9 SSW,,CRN,72541
USW00004994,48.3056,-95.8744,350.5,MN,GOODRIDGE 12 NNW,,CRN,72647
USW00054932,46.1136,-92.9936,344.4,MN,SANDSTONE 6 W,,CRN,72646
USW00013301,39.8667,-93.1469,253.9,MO,CHILLICOTHE 22 ENE,,CRN,72555
USW00023908,37.4278,-94.5828,290.2,MO,JOPLIN 24 N,,CRN,72559
USW00023909,37.6344,-91.7225,365.2,MO,SALEM 10 W,,CRN,72560
USW00023803,34.8222,-89.4347,147.5,MS,HOLLY SPRINGS 4 N,,CRN,74770
USW00063831,32.3378,-89.0703,114,MS,NEWTON 5 ENE,,CRN,74771
USW00004137,45.1581,-113.0058,1820,MT,DILLON 18 WSW,,CRN,74227
USW00004140,46.8847,-110.2894,1545.3,MT,LEWISTOWN 42 WSW,,CRN,74228
USW00004130,48.7411,-113.4331,1388.4,MT,ST. MARY 1 SSW,,CRN,74229
USW00094060,48.3083,-105.1017,635.5,MT,WOLF POINT 29 ENE,,CRN,74232
USW00094059,48.4886,-105.2097,805.6,MT,WOLF POINT 34 NE,,CRN,74231
USW00053878,35.4186,-82.5567,641,NC,ASHEVILLE 13 S,,CRN,74697
USW00053877,35.4944,-82.6142,655.6,NC,ASHEVILLE 8 SSW,,CRN,74696
USW00003758,35.9706,-79.0931,171.3,NC,DURHAM 11 W,,CRN,74694
USW00054937,46.7703,-99.4778,585.2,ND,JAMESTOWN 38 WSW,,CRN,72751
USW00094080,46.8947,-103.3769,844.6,ND,MEDORA 7 E,,CRN,72752
USW00094084,48.9675,-102.1703,561.4,ND,NORTHGATE 5 ESE,,CRN,72754
USW00094077,42.4247,-103.7364,1342.9,NE,HARRISON 20 SSE,,CRN,74438
USW00094996,40.6953,-96.8542,418.2,NE,LINCOLN 11 SW,,CRN,74441
USW00094995,40.8483,-96.565,362.4,NE,LINCOLN 8 ENE,,CRN,74442
USW00094079,42.0681,-101.445,1140,NE,WHITMAN 5 ENE,,CRN,74436
USW00054794,43.1717,-70.9278,36.3,NH,DURHAM 2 N,,CRN,72609
USW00054795,43.1092,-70.9483,19.2,NH,DURHAM 2 SSW,,CRN,72610
USW00003074,32.6136,-106.7414,1318.9,NM,LAS CRUCES 20 N,,CRN,74632
USW00003062,35.8583,-106.5214,2656.6,NM,LOS ALAMOS 13 W,,CRN,74633
USW00003048,34.3558,-106.8858,1477.4,NM,SOCORRO 20 N,,CRN,74634
USW00053138,39.0117,-114.2089,2016.9,NV,BAKER 5 W,,CRN,72388
USW00004139,41.8483,-119.6358,1981.2,NV,DENIO 52 WSW,,CRN,72385
USW00053136,36.6239,-116.0225,1001,NV,MERCURY 3 SSW,,CRN,72392
USW00064758,42.44,-76.2461,374.3,NY,ITHACA 13 E,,CRN,72527
USW00064756,41.7858,-73.7422,125.9,NY,MILLBROOK 3 W,,CRN,74369
USW00054851,40.3667,-81.7828,341.4,OH,COSHOCTON 8 NNE,,CRN,74571
USW00003055,36.5992,-101.595,995.5,OK,GOODWELL 2 E,,CRN,74632
USW00053182,36.5683,-101.6097,1000.4,OK,GOODWELL 2 SE,,CRN,74636
USW00053926,36.1181,-97.0914,271.3,OK,STILLWATER 2 W,,CRN,74642
USW00053927,36.1347,-97.1083,270.7,OK,STILLWATER 5 WNW,,CRN,74643
CAW00064757,44.2325,-79.7811,246,ON,EGBERT 1 W,,CRN,
USW00004141,43.2717,-124.3186,3.7,OR,COOS BAY 8 SW,,CRN,72695
USW00004236,44.4186,-123.3258,95.1,OR,CORVALLIS 10 SSW,,CRN,72696
USW00004125,44.5561,-119.6458,684.3,OR,JOHN DAY 35 WNW,,CRN,72697
USW00004128,43.4711,-119.6917,1396.9,OR,RILEY 10 WSW,,CRN,72701
USW00003761,39.8592,-75.7861,121.9,PA,AVONDALE 2 N,,CRN,72516
USW00054796,41.4911,-71.5414,35.1,RI,KINGSTON 1 NW,,CRN,72511
USW00054797,41.4783,-71.5417,32.3,RI,KINGSTON 1 W,,CRN,72512
USW00063826,33.355,-81.3278,96.6,SC,BLACKVILLE 3 W,,CRN,74784
USW00003728,33.1533,-79.3636,2.7,SC,MCCLELLANVILLE 7 NE,,CRN,74785
USW00054933,45.7114,-99.1297,596.5,SD,ABERDEEN 35 WNW,,CRN,72667
USW00094081,45.5161,-103.3017,878.7,SD,BUFFALO 13 ESE,,CRN,72664
USW00094085,44.0194,-100.3531,647.4,SD,PIERRE 24 S,,CRN,72663
USW00004990,43.7347,-96.6222,485.9,SD,SIOUX FALLS 14 NNE,,CRN,72660
USW00063855,36.0139,-85.1344,583.1,TN,CROSSVILLE 7 NW,,CRN,72433
USW00023907,30.6222,-98.0847,414.8,TX,AUSTIN 33 NW,,CRN,74744
USW00003072,32.0408,-100.2494,608.7,TX,BRONTE 11 NNE,,CRN,74737
USW00012987,26.5258,-98.0633,19.5,TX,EDINBURG 17 NNE,,CRN,72255
USW00003047,31.6219,-102.8072,830.3,TX,MONAHANS 6 ENE,,CRN,74729
USW00003054,33.9558,-102.7739,1140.6,TX,MULESHOE 19 S,,CRN,74727
USW00053968,31.7797,-95.7233,116.7,TX,PALESTINE 6 WNW,,CRN,74749
USW00022016,29.3483,-103.2092,1065,TX,PANTHER JUNCTION 2 N,,CRN,74728
USW00023906,28.3044,-96.8231,4.6,TX,PORT ARANSAS 32 NNE,,CRN,74747
USW00004138,41.6164,-112.5436,1509.1,UT,BRIGHAM CITY 28 WNW,,CRN,72577
USW00053149,38.3028,-111.2936,1891,UT,TORREY 7 E,,CRN,72571
USW00094096,40.1347,-109.6428,1424.6,UT,VERNAL 23 SSE,,CRN,
USW00003739,37.2908,-75.9269,8.8,VA,CAPE CHARLES 5 ENE,,CRN,74590
USW00003759,37.9975,-78.4656,358.7,VA,CHARLOTTESVILLE 2 SSE,,CRN,74601
USW00004223,48.5406,-121.4461,124.1,WA,DARRINGTON 21 NNE,,CRN,74202
USW00004237,47.5139,-123.812,87.2,WA,QUINAULT 4 NE,,CRN,74203
USW00004136,47.4175,-117.5264,691,WA,SPOKANE 17 SSW,,CRN,74204
USW00054903,44.0603,-90.1736,284.4,WI,NECEDAH 5 WNW,,CRN,74358
USW00003733,39.0131,-79.4742,1033.3,WV,ELKINS 21 ENE,,CRN,72437
USW00094078,42.6753,-108.6686,1759.6,WY,LANDER 11 SSE,,CRN,72573
USW00004131,43.6614,-110.7119,1970.8,WY,MOOSE 1 NNE,,CRN,72574
USW00094088,44.5169,-104.4364,1765.4,WY,SUNDANCE 8 NNW,,CRN,72575